2025-11-09T00:19:07.740381500 - Critical configuration change detected: ConfigChange(id=1, ruleType=CREDIT_LIMIT, oldValue=null, currentValue=1, changedBy=admin_user, changedAt=2025-11-09T00:19:07.733380700, isCritical=true)
2025-11-09T15:12:15.134948600 - Critical configuration change detected: ConfigChange(id=1, ruleType=CREDIT_LIMIT, oldValue=null, currentValue=1, changedBy=admin_user, changedAt=2025-11-09T15:12:15.126505500, isCritical=true)
2025-11-09T15:12:17.831449900 - Critical configuration change detected: ConfigChange(id=2, ruleType=CREDIT_LIMIT, oldValue=null, currentValue=1, changedBy=admin_user, changedAt=2025-11-09T15:12:17.831449900, isCritical=true)
2025-11-09T15:12:19.388034800 - Critical configuration change detected: ConfigChange(id=3, ruleType=CREDIT_LIMIT, oldValue=null, currentValue=1, changedBy=admin_user, changedAt=2025-11-09T15:12:19.388034800, isCritical=true)
2025-11-09T15:12:21.429275200 - Critical configuration change detected: ConfigChange(id=4, ruleType=CREDIT_LIMIT, oldValue=null, currentValue=1, changedBy=admin_user, changedAt=2025-11-09T15:12:21.429275200, isCritical=true)
2025-11-09T15:21:21.113649800 - Critical configuration change detected: ConfigChange(id=12, ruleType=APPROVAL, oldValue=null, currentValue=1, changedBy=admin_user, changedAt=2025-11-09T15:21:21.113649800, isCritical=true)
2025-11-09T15:21:34.526249900 - Critical configuration change detected: ConfigChange(id=13, ruleType=gjgyyggjggg, oldValue=null, currentValue=1, changedBy=admin_user, changedAt=2025-11-09T15:21:34.525250500, isCritical=true)
2025-11-10T22:41:47.355699400 - Critical configuration change detected: ConfigChange(id=5, ruleTypeId=2, currentValue=true, changedBy=admin_user, changedAt=2025-11-10T22:41:47.160670400, isCritical=true, prevChange=null)
2025-11-11T00:51:10.803936200 - Critical configuration change detected: ConfigChange(id=1, ruleTypeId=1, currentValue=3124132, changedBy=admin_user, changedAt=2025-11-11T00:51:10.797940700, isCritical=true, prevChange=null)
2025-11-11T00:51:34.834324900 - Critical configuration change detected: ConfigChange(id=2, ruleTypeId=1, currentValue=345345, changedBy=admin_user, changedAt=2025-11-11T00:51:34.834324900, isCritical=true, prevChange=null)
2025-11-11T01:13:06.559646200 - Critical configuration change detected: ConfigChange(id=1, ruleTypeId=1, currentValue=3124132, changedBy=admin_user, changedAt=2025-11-11T01:13:06.555625300, isCritical=true, prevChange=null)
2025-11-11T01:13:12.334538300 - Critical configuration change detected: ConfigChange(id=2, ruleTypeId=1, currentValue=345345, changedBy=admin_user, changedAt=2025-11-11T01:13:12.334538300, isCritical=true, prevChange=null)
2025-11-11T12:12:56.412392900 - Critical configuration change detected: ConfigChange(id=1, ruleTypeId=1, currentValue=3124132, changedBy=admin_user, changedAt=2025-11-11T12:12:56.404395800, isCritical=true, prevChange=null)
2025-11-11T12:13:01.830202 - Critical configuration change detected: ConfigChange(id=2, ruleTypeId=1, currentValue=3124132, changedBy=admin_user, changedAt=2025-11-11T12:13:01.830202, isCritical=true, prevChange=null)
2025-11-11T12:13:03.868137100 - Critical configuration change detected: ConfigChange(id=3, ruleTypeId=1, currentValue=3124132, changedBy=admin_user, changedAt=2025-11-11T12:13:03.867137, isCritical=true, prevChange=null)
2025-11-11T12:22:33.399775600 - Critical configuration change detected: ConfigChange(id=1, ruleTypeId=1, currentValue=3124132, changedBy=admin_user, changedAt=2025-11-11T12:22:33.392277, isCritical=true)
